OID_,type,subtype,curb_id,dist_s_m,dist_e_m
970,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQx,43.9900017,53.0800018
971,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4NzQx,53.6500015,66.0599976
972,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4NzQx,66.0599976,66.2200012
973,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQx,66.2200012,71.1299973
974,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4NzQx,71.1299973,71.4100037
975,Pavement Marking,Diagonal Lines,cGhpbGFkZWxwaGlhOjM4NzQx,71.4100037,72.2200012
976,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQy,5.4299998,74.3300018
977,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQz,1.8900000,76.5699997
978,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQ0,3.4600000,19.2299995
979,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQ0,19.2299995,27.1900005
980,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQ2,4.9099998,42.0000000
981,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQ2,42.0000000,47.7799988
982,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQ2,47.7799988,106.9700012
983,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQ2,122.5000000,188.3800049
984,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4NzQ2,188.3800049,197.2200012
985,Pavement Marking,Bike,cGhpbGFkZWxwaGlhOjM4NzQ2,197.2200012,206.1799927
986,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,24.4500008,27.3700008
987,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,74.6699982,78.1600037
988,Construction Zone, ,cGhpbGFkZWxwaGlhOjM4OTMy,78.1600037,128.1999969
989,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,161.3600006,163.6600037
990,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,166.0800018,170.6100006
991,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,176.1300049,179.5500031
992,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMy,188.9100037,193.7299957
993,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMz,34.0000000,39.0900002
994,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTMz,77.0400009,83.1600037
995,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,25.4099998,25.8199997
996,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ0,25.8199997,36.1500015
997,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,36.1500015,38.6100006
998,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ0,77.4199982,90.5299988
999,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,112.5000000,113.5699997
1000,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ0,113.5699997,118.1299973
1001,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,118.1299973,122.3300018
1002,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ0,122.3300018,126.9599991
1003,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,126.9599991,165.7700043
1004,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ0,165.7700043,173.2299957
1005,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM4OTQ0,173.2299957,203.9299927
1006,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ1,72.2600021,77.2799988
1007,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ1,81.8099976,88.9300003
1008,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ1,97.8300018,102.7099991
1009,Curb Cut, ,cGhpbGFkZWxwaGlhOjM4OTQ1,117.7799988,121.8799973
1010,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MTI0,43.8800011,64.2699966
1011,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MTI0,91.1999969,101.1500015
1012,Bike Rack, ,cGhpbGFkZWxwaGlhOjM5MTI1,8.6400003,15.7500000
1013,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MTI1,26.8999996,33.1699982
1014,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MTI2,39.0999985,44.9000015
1015,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MTI3,32.0099983,37.9300003
1016,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA0,34.6399994,40.0800018
1017,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA0,83.2500000,88.5800018
1018,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA0,93.9100037,97.0599976
1019,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA1,44.5499992,49.4399986
1020,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA2,25.1900005,44.8199997
1021,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MjA3,53.1500015,56.4300003
1022,Construction Zone, ,cGhpbGFkZWxwaGlhOjM5Mjc2,35.7700005,50.4399986
1023,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjc2,57.0800018,63.6300011
1024,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjc4,51.1399994,59.8400002
1025,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjc4,81.3399963,87.4800034
1026,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjc5,31.6200008,37.4000015
1027,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjgw,51.6300011,57.1500015
1028,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjgx,61.4000015,68.1100006
1029,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM5Mjgx,70.1600037,70.7699966
1030,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjgx,70.7699966,83.2799988
1031,Curb Paint,Yellow,cGhpbGFkZWxwaGlhOjM5Mjgx,88.2600021,88.3399963
1032,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Mjgx,88.3399963,100.1399994
1033,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MzI3,44.3199997,48.3899994
1034,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MzMw,38.4900017,43.7000008
1035,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MzMy,57.1199989,64.5899963
1036,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5MzMy,66.6100006,78.9000015
1037,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5NzI0,15.8400002,21.3199997
1038,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Nzkz,8.1999998,12.4700003
1039,Curb Cut, ,cGhpbGFkZWxwaGlhOjM5Nzkz,16.5699997,20.3400002
