OID_,subtype,curb_id,txt_failed,txt,img_urls,arrows,type,symbols,dist_m,facing,
8181, ,cGhpbGFkZWxwaGlhOjMxMjE0,F, ,"https://api.coord.com/surveyor/photo/375447, https://api.coord.com/surveyor/photo/378298", ,Hydrant, ,2.4100001, ,
8182, ,cGhpbGFkZWxwaGlhOjMxMjE2,F, ,https://api.coord.com/surveyor/photo/366655, ,ADA Curb Ramp, ,0, ,
8185, ,cGhpbGFkZWxwaGlhOjMxMjE2,F, ,https://api.coord.com/surveyor/photo/366660, ,ADA Curb Ramp, ,64.3300018, ,
8186, ,cGhpbGFkZWxwaGlhOjMxMjE3,F, ,https://api.coord.com/surveyor/photo/366662, ,ADA Curb Ramp, ,0, ,
8200, ,cGhpbGFkZWxwaGlhOjMxMjE4,F, ,https://api.coord.com/surveyor/photo/366671, ,ADA Curb Ramp, ,61.1500015, ,
8201, ,cGhpbGFkZWxwaGlhOjMxMzg1,F, ,"https://api.coord.com/surveyor/photo/357266, https://api.coord.com/surveyor/photo/362739", ,Hydrant, ,0.05, ,
8222, ,cGhpbGFkZWxwaGlhOjMzODE1,F, ,https://api.coord.com/surveyor/photo/377266, ,Hydrant, ,4.8099999, ,
8224, ,cGhpbGFkZWxwaGlhOjMzODE1,F, ,"https://api.coord.com/surveyor/photo/377708, https://api.coord.com/surveyor/photo/377270", ,ADA Curb Ramp, ,41.3699989, ,
8225, ,cGhpbGFkZWxwaGlhOjMzODE2,F, ,"https://api.coord.com/surveyor/photo/377714, https://api.coord.com/surveyor/photo/377273", ,ADA Curb Ramp, ,0, ,
8227, ,cGhpbGFkZWxwaGlhOjMzODE2,F, ,"https://api.coord.com/surveyor/photo/377726, https://api.coord.com/surveyor/photo/377278", ,Hydrant, ,39.4599991, ,
8228, ,cGhpbGFkZWxwaGlhOjMzODE3,F, ,https://api.coord.com/surveyor/photo/377280, ,ADA Curb Ramp, ,0, ,
8229, ,cGhpbGFkZWxwaGlhOjMzODE3,F, ,"https://api.coord.com/surveyor/photo/377285, https://api.coord.com/surveyor/photo/377735", ,ADA Curb Ramp, ,39.5400009, ,
8231, ,cGhpbGFkZWxwaGlhOjMzODI1,F, ,"https://api.coord.com/surveyor/photo/360625, https://api.coord.com/surveyor/photo/376940", ,ADA Curb Ramp, ,67.3600006, ,
8232, ,cGhpbGFkZWxwaGlhOjMzODI2,F, ,"https://api.coord.com/surveyor/photo/360626, https://api.coord.com/surveyor/photo/376942", ,ADA Curb Ramp, ,0.85, ,
8237, ,cGhpbGFkZWxwaGlhOjMzODI3,F, ,"https://api.coord.com/surveyor/photo/360629, https://api.coord.com/surveyor/photo/376948", ,ADA Curb Ramp, ,0.2, ,
8242, ,cGhpbGFkZWxwaGlhOjMzODI3,F, ,"https://api.coord.com/surveyor/photo/360632, https://api.coord.com/surveyor/photo/376955", ,Hydrant, ,66.3600006, ,
